ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-16T16:51:48.194915+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T16:51:48.147448+00:00,2026-03-16T16:51:48.186848+00:00,2026-03-16T16:51:48.194933+00:00
2026-03-16T16:56:47.782523+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-16T16:56:47.730840+00:00,2026-03-16T16:56:47.771482+00:00,2026-03-16T16:56:47.782537+00:00
2026-03-16T16:56:47.829858+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-16T16:56:47.785188+00:00,2026-03-16T16:56:47.821965+00:00,2026-03-16T16:56:47.829871+00:00
2026-03-16T16:56:47.883286+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-16T16:56:47.832539+00:00,2026-03-16T16:56:47.875373+00:00,2026-03-16T16:56:47.883318+00:00
2026-03-16T17:01:10.972924+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-16T17:01:10.876600+00:00,2026-03-16T17:01:10.957158+00:00,2026-03-16T17:01:10.972937+00:00
2026-03-16T17:01:11.063520+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-16T17:01:10.977021+00:00,2026-03-16T17:01:11.047347+00:00,2026-03-16T17:01:11.063532+00:00
2026-03-16T17:01:11.152110+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-16T17:01:11.067328+00:00,2026-03-16T17:01:11.135847+00:00,2026-03-16T17:01:11.152127+00:00
2026-03-16T17:03:09.795272+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-16T17:03:09.710648+00:00,2026-03-16T17:03:09.761920+00:00,2026-03-16T17:03:09.795284+00:00
2026-03-16T17:05:08.904954+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-16T17:05:08.814893+00:00,2026-03-16T17:05:08.872897+00:00,2026-03-16T17:05:08.904965+00:00
2026-03-16T17:05:34.806269+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-16T17:05:34.725212+00:00,2026-03-16T17:05:34.777157+00:00,2026-03-16T17:05:34.806286+00:00
